unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
870f3ded-9b80-4618-99d3-88ba480961a4,1608213541.6526437,[194221.3109],None,2018-01-05,0.1,000:00:26
ab26c6bb-7f53-4f07-be66-698a3e4cd5b0,1608216618.7263424,all,[164374.5777],None,2018-01-05,0.1,000:00:26
20135c84-a480-4468-a790-2194be65bf54,1608216872.7923293,all,[169926.71486667],None,2018-01-05,0.1,000:00:26
65bd4c39-1462-4060-8484-e0261ebe4501,1608217688.3670905,all,[172477.67793333],None,2018-01-05,0.1,000:00:26
aa1013f7-b6aa-4889-a489-2786851ec578,1608236232.2585113,all,[185199.143],None,2018-01-05,0.1,000:00:26
be80a3d9-f274-4c4f-b40b-a909f04cd91f,1608237147.4494507,all,[185199.143],None,2018-01-05,0.1,000:00:26
d23b3c3e-c4fe-4bcf-bad8-135a72fe184e,1608237526.9554179,all,[185199.143],None,2018-01-05,0.1,000:00:26
c2123bf9-ffae-4a54-89c0-e92a418b69bd,1608237554.2847884,united_kingdom,[161271.5384],None,2018-01-05,0.1,000:00:27
089e4e10-8044-43f1-bbab-9d8c42666f58,1608239551.198236,all,[189813.06686667],None,2018-01-05,0.1,000:00:26
4c6bd9b5-c73b-4bb3-a58f-2df003af25a0,1608239578.7714171,united_kingdom,[151761.4734],None,2018-01-05,0.1,000:00:27
2428da54-6402-4f8e-b601-8355d30c9ee7,1608239698.6389875,all,[181257.25906667],None,2018-01-05,0.1,000:00:25
eba6d497-2891-4647-bb4f-af7ae4098127,1608239725.6429732,united_kingdom,[177699.65356],None,2018-01-05,0.1,000:00:27
db79ee19-81f7-4e6c-943a-680996d317d9,1608239912.4326472,all,[181257.25906667],None,2018-01-05,0.1,000:00:26
2eb43992-84c6-47d8-b4ff-e108645bc051,1608239939.5160446,united_kingdom,[177699.65356],None,2018-01-05,0.1,000:00:27
5c0190c4-9f11-44ed-9d11-78a6b215f036,1608302865.1888604,all,[181257.25906667],None,2018-01-05,0.1,000:00:30
12b5620a-3ec8-4bdc-95e8-b3441e4dece3,1608302895.3845334,united_kingdom,[177699.65356],None,2018-01-05,0.1,000:00:30
b64bade0-1d43-4e45-b839-2ba589031423,1608304257.852442,all,[181257.25906667],None,2018-01-05,0.1,000:00:27
af5917c8-7fbc-4778-b503-eb316df8889e,1608304286.7327158,united_kingdom,[177699.65356],None,2018-01-05,0.1,000:00:28
